epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,416.026,1.14504,1.09729,1.39851,0.42083,0.34084,0.33273,0.11138,2.69759,2.21617,3.16264,0.000960682,0.000960682,0.000960682
43,425.81,1.13696,1.03298,1.36745,0.49197,0.38495,0.41714,0.1554,2.72931,2.00842,3.25047,0.000957015,0.000957015,0.000957015
44,435.528,1.14802,1.07643,1.38912,0.29328,0.44169,0.36685,0.14232,2.68101,2.01918,3.10871,0.000953349,0.000953349,0.000953349
45,445.298,1.13763,1.04466,1.37097,0.42197,0.35293,0.34912,0.11229,2.77171,2.09861,3.3043,0.000949683,0.000949683,0.000949683
46,454.988,1.10692,1.01773,1.36374,0.62374,0.45034,0.45621,0.1572,2.68756,1.89709,3.2812,0.000946016,0.000946016,0.000946016
47,464.752,1.08399,0.99225,1.34459,0.34192,0.54039,0.42583,0.15169,2.6654,1.96781,3.07644,0.00094235,0.00094235,0.00094235
48,474.42,1.0979,1.02064,1.3578,0.41672,0.42354,0.3926,0.14338,2.75748,1.95119,3.2945,0.000938684,0.000938684,0.000938684
49,484.148,1.06161,1.0065,1.33897,0.60918,0.33545,0.38637,0.12129,2.75841,1.9005,3.2959,0.000935018,0.000935018,0.000935018
50,493.918,1.08692,1.04197,1.35146,0.63511,0.3536,0.42596,0.14823,2.72212,1.91083,3.18505,0.000931351,0.000931351,0.000931351
51,503.635,1.05658,0.99277,1.31921,0.37875,0.42523,0.39819,0.13574,2.73793,2.16916,3.3275,0.000927685,0.000927685,0.000927685
52,513.315,1.04484,0.9854,1.32458,0.40797,0.40297,0.39725,0.12607,2.74236,2.07779,3.32587,0.000924019,0.000924019,0.000924019
53,523.094,1.05352,0.93709,1.30123,0.45331,0.45082,0.43938,0.17403,2.69767,2.00865,3.11801,0.000920352,0.000920352,0.000920352
54,532.873,1.01986,0.93169,1.30119,0.32837,0.55377,0.43259,0.16167,2.70872,1.97789,3.28591,0.000916686,0.000916686,0.000916686
55,542.611,1.01833,0.92721,1.29082,0.43292,0.42959,0.424,0.16924,2.72063,2.02011,3.31359,0.00091302,0.00091302,0.00091302
56,552.418,1.00457,0.92349,1.29995,0.30891,0.41352,0.34255,0.11937,2.78033,2.12245,3.25833,0.000909353,0.000909353,0.000909353
57,562.2,1.00129,0.90882,1.2822,0.39315,0.43189,0.41307,0.13999,2.79209,1.90394,3.23811,0.000905687,0.000905687,0.000905687
58,571.963,0.99601,0.93011,1.27524,0.44772,0.49624,0.45411,0.15442,2.68785,1.86298,3.18105,0.000902021,0.000902021,0.000902021
59,581.603,0.97224,0.87377,1.266,0.63005,0.40867,0.49454,0.18401,2.71458,1.82376,3.28964,0.000898355,0.000898355,0.000898355
60,591.472,1.02058,0.92427,1.31257,0.4702,0.38008,0.42133,0.1607,2.72148,1.89595,3.23272,0.000894688,0.000894688,0.000894688
61,601.13,0.96133,0.88443,1.26105,0.47259,0.46678,0.41676,0.15344,2.77471,1.98286,3.42889,0.000891022,0.000891022,0.000891022
62,610.796,1.00676,0.94362,1.27827,0.38228,0.44127,0.38996,0.14746,2.63399,1.9984,3.07737,0.000887356,0.000887356,0.000887356
63,620.564,0.97978,0.93643,1.27719,0.49181,0.48815,0.46618,0.1715,2.68213,1.8713,3.1675,0.000883689,0.000883689,0.000883689
64,630.254,0.96822,0.91389,1.26859,0.39875,0.41385,0.39457,0.13696,2.83261,2.02447,3.42299,0.000880023,0.000880023,0.000880023
65,639.957,0.93858,0.8733,1.2438,0.58585,0.47991,0.48573,0.18825,2.71443,1.84553,3.16686,0.000876357,0.000876357,0.000876357
66,649.826,0.94014,0.88984,1.24411,0.51468,0.49226,0.41872,0.14728,2.69899,1.92952,3.17401,0.000872691,0.000872691,0.000872691
67,659.491,0.96138,0.90448,1.25882,0.35352,0.45351,0.38319,0.13657,2.74815,1.85694,3.32414,0.000869024,0.000869024,0.000869024
68,669.273,0.94563,0.89075,1.26713,0.42974,0.50585,0.43103,0.13766,2.70738,2.03126,3.18583,0.000865358,0.000865358,0.000865358
69,678.953,0.93344,0.89891,1.24891,0.60627,0.34778,0.44285,0.15758,2.74068,2.11627,3.17288,0.000861692,0.000861692,0.000861692
70,688.796,0.92833,0.87102,1.23228,0.44438,0.43956,0.42407,0.1633,2.73798,1.94789,3.28954,0.000858025,0.000858025,0.000858025
71,698.506,0.9377,0.91024,1.24834,0.49129,0.40785,0.42398,0.16226,2.67484,1.90083,3.16013,0.000854359,0.000854359,0.000854359
72,708.175,0.90348,0.83118,1.22089,0.47793,0.54452,0.48397,0.17219,2.74868,1.81119,3.23568,0.000850693,0.000850693,0.000850693
73,717.954,0.92242,0.87154,1.23028,0.35689,0.39141,0.38031,0.13133,2.73977,1.98945,3.24069,0.000847026,0.000847026,0.000847026
74,727.656,0.88747,0.83688,1.22336,0.49587,0.46428,0.46619,0.16825,2.70927,1.90133,3.39749,0.00084336,0.00084336,0.00084336
